task,epa_normalized_sequence_entropy_exponential_forgetting,ratio_top_10_variants
task_1,0.0,0.0
task_2,0.0,0.1
task_3,0.0,0.2
task_4,0.0,0.3
task_5,0.0,0.4
task_6,0.0,0.5
task_7,0.0,0.6
task_8,0.0,0.7
task_9,0.0,0.8
task_10,0.0,0.9
task_11,0.0,1.0
task_12,0.1,0.0
task_13,0.1,0.1
task_14,0.1,0.2
task_15,0.1,0.3
task_16,0.1,0.4
task_17,0.1,0.5
task_18,0.1,0.6
task_19,0.1,0.7
task_20,0.1,0.8
task_21,0.1,0.9
task_22,0.1,1.0
task_23,0.2,0.0
task_24,0.2,0.1
task_25,0.2,0.2
task_26,0.2,0.3
task_27,0.2,0.4
task_28,0.2,0.5
task_29,0.2,0.6
task_30,0.2,0.7
task_31,0.2,0.8
task_32,0.2,0.9
task_33,0.2,1.0
task_34,0.3,0.0
task_35,0.3,0.1
task_36,0.3,0.2
task_37,0.3,0.3
task_38,0.3,0.4
task_39,0.3,0.5
task_40,0.3,0.6
task_41,0.3,0.7
task_42,0.3,0.8
task_43,0.3,0.9
task_44,0.3,1.0
task_45,0.4,0.0
task_46,0.4,0.1
task_47,0.4,0.2
task_48,0.4,0.3
task_49,0.4,0.4
task_50,0.4,0.5
task_51,0.4,0.6
task_52,0.4,0.7
task_53,0.4,0.8
task_54,0.4,0.9
task_55,0.4,1.0
task_56,0.5,0.0
task_57,0.5,0.1
task_58,0.5,0.2
task_59,0.5,0.3
task_60,0.5,0.4
task_61,0.5,0.5
task_62,0.5,0.6
task_63,0.5,0.7
task_64,0.5,0.8
task_65,0.5,0.9
task_66,0.5,1.0
task_67,0.6,0.0
task_68,0.6,0.1
task_69,0.6,0.2
task_70,0.6,0.3
task_71,0.6,0.4
task_72,0.6,0.5
task_73,0.6,0.6
task_74,0.6,0.7
task_75,0.6,0.8
task_76,0.6,0.9
task_77,0.6,1.0
task_78,0.7,0.0
task_79,0.7,0.1
task_80,0.7,0.2
task_81,0.7,0.3
task_82,0.7,0.4
task_83,0.7,0.5
task_84,0.7,0.6
task_85,0.7,0.7
task_86,0.7,0.8
task_87,0.7,0.9
task_88,0.7,1.0
task_89,0.8,0.0
task_90,0.8,0.1
task_91,0.8,0.2
task_92,0.8,0.3
task_93,0.8,0.4
task_94,0.8,0.5
task_95,0.8,0.6
task_96,0.8,0.7
task_97,0.8,0.8
task_98,0.8,0.9
task_99,0.8,1.0
task_100,0.9,0.0
task_101,0.9,0.1
task_102,0.9,0.2
task_103,0.9,0.3
task_104,0.9,0.4
task_105,0.9,0.5
task_106,0.9,0.6
task_107,0.9,0.7
task_108,0.9,0.8
task_109,0.9,0.9
task_110,0.9,1.0
task_111,1.0,0.0
task_112,1.0,0.1
task_113,1.0,0.2
task_114,1.0,0.3
task_115,1.0,0.4
task_116,1.0,0.5
task_117,1.0,0.6
task_118,1.0,0.7
task_119,1.0,0.8
task_120,1.0,0.9
task_121,1.0,1.0
